method,layer,hidden_cosine
mixed_ovq_top4_group_meta,3,0.9793346166610718
mixed_ovq_top4_group_meta,4,0.9793342232704163
mixed_ovq_top4_group_meta,5,0.9792989611625671
mixed_ovq_top4_group_meta,6,0.979238760471344
mixed_ovq_top4_group_meta,7,0.9791870594024659
mixed_ovq_top4_group_meta,8,0.9787078857421875
mixed_ovq_top4_group_meta,9,0.9786396622657776
mixed_ovq_top4_group_meta,10,0.978511106967926
mixed_ovq_top4_group_meta,11,0.9783373355865479
mixed_ovq_top4_group_meta,12,0.9781696200370789
mixed_ovq_top4_group_meta,13,0.9778214693069458
mixed_ovq_top4_group_meta,14,0.9774965047836304
mixed_ovq_top4_group_meta,15,0.9769888877868652
mixed_ovq_top4_group_meta,16,0.9759559392929077
mixed_ovq_top4_group_meta,17,0.9745330810546875
mixed_ovq_top4_group_meta,18,0.9721893906593323
mixed_ovq_top4_group_meta,19,0.9680394172668457
mixed_ovq_top4_group_meta,20,0.9612979292869568
mixed_ovq_top4_group_meta,21,0.9515382051467896
mixed_ovq_top4_group_meta,22,0.6268518328666687
