method,kind,status,patched_modules,final_hidden_cosine,kl_vs_reference,cross_entropy_vs_reference,first_token_match,top5_overlap,ppl,tokens_per_second,runtime_label,total_params,target_params,target_fraction,target_only_bpw_est,total_model_bpw_est,estimated_model_size_mb,quant_windows,metadata_records,metadata_mode,metadata_group_size,metadata_note,bits,base_bits,protected_bits,top_k
fp16_reference,reference,ok,0,1.0,0.0,,1.0,1.0,71.3625109377433,30.202909773622615,normal_transformers_runtime,1100048384,968884224,0.8807650991467663,16.0,16.0,2098.17578125,0,0,window,256,metadata_estimate:minmax_fp16_pair_per_record;non_target_params_fp16;fake_dequant_quality_run,,,,
vq_2bit_window_meta,vq,ok,154,0.3010474681854248,4.347825050354004,7.355191230773926,0.20000000298023224,0.2,2668.630905406333,33.92620057972477,fake_dequant_runtime,1100048384,968884224,0.8807650991467663,4.0,5.430818810238805,712.17578125,60555264,60555264,window,256,metadata_estimate:minmax_fp16_pair_per_record;non_target_params_fp16;fake_dequant_quality_run,2,,,
ovq_2bit_window_meta,ovq,ok,154,0.5520068049430847,1.8530935049057007,4.860459327697754,0.4000000059604645,0.36,375.41189699089665,32.831905233460006,fake_dequant_runtime,1100048384,968884224,0.8807650991467663,7.999989827473958,8.953870247219962,1174.1746063232422,121110374,121110374,window,256,metadata_estimate:minmax_fp16_pair_per_record;non_target_params_fp16;fake_dequant_quality_run,2,,,
ovq_2bit_group_meta,ovq,ok,154,0.5520068049430847,1.8530935049057007,4.860459327697754,0.4000000059604645,0.36,375.41189699089665,32.412840009471864,fake_dequant_runtime,1100048384,968884224,0.8807650991467663,4.1249949137369795,5.540909967829196,726.6126937866211,121110374,3784704,group,256,metadata_estimate:minmax_fp16_pair_per_record;non_target_params_fp16;fake_dequant_quality_run,2,,,
mixed_ovq_top2_group_meta,mixed_ovq,ok,154,0.5808087468147278,1.0666433572769165,4.074009895324707,0.6000000238418579,0.43999999999999995,223.5182283884593,33.32323035469838,fake_dequant_runtime,1100048384,968884224,0.8807650991467663,4.488630814985796,5.8611877784459345,768.6126403808594,121110374,3784704,group,256,metadata_estimate:minmax_fp16_pair_per_record;non_target_params_fp16;fake_dequant_quality_run,,2,4,2
mixed_ovq_top4_group_meta,mixed_ovq,ok,154,0.6268518328666687,0.6656763553619385,3.6730427742004395,0.6000000238418579,0.52,167.57034232961226,32.71579606690748,fake_dequant_runtime,1100048384,968884224,0.8807650991467663,4.852266716234611,6.181465589062672,810.6125869750977,121110374,3784704,group,256,metadata_estimate:minmax_fp16_pair_per_record;non_target_params_fp16;fake_dequant_quality_run,,2,4,4
